日期,浏览量,浏览量环比,访客数,访客数环比,人均浏览量,人均浏览量环比,平均停留时间,平均停留时间环比,跳失率,跳失率环比,成交客户数,成交客户数环比,成交单量,成交单量环比,成交金额,成交金额环比,客单价,客单价环比,成交商品件数,成交商品件数环比,成交转化率,成交转化率环比,下单客户数,下单客户数环比,下单单量,下单单量环比,下单金额,下单金额环比,下单商品件数,下单商品件数环比,下单转化率,下单转化率环比,下单成交转化率,下单成交转化率环比
2017-04-11,210845,-,49704,-,4.24,-,120.96,-,48.76%,-,4119,-,4235,-,465884.26,-,113.11,-,22506,-,8.29%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-12,240781,-,62830,-,3.83,-,116.77,-,52.43%,-,4580,-,4709,-,585909.66,-,127.93,-,26512,-,7.29%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-13,375773,-,122144,-,3.08,-,78.06,-,54.85%,-,4720,-,4908,-,430606.25,-,91.23,-,23705,-,3.86%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-14,206351,-,51960,-,3.97,-,117.13,-,50.89%,-,3892,-,4043,-,359144.19,-,92.28,-,19756,-,7.49%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-15,211196,-,55066,-,3.84,-,118.38,-,51.25%,-,3897,-,4073,-,357452.46,-,91.72,-,20253,-,7.08%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-16,215443,-,57341,-,3.76,-,116.64,-,50.84%,-,4382,-,4501,-,363968.22,-,83.06,-,19478,-,7.64%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-17,246082,-,61304,-,4.01,-,126.82,-,51.59%,-,4765,-,4867,-,487817.57,-,102.38,-,25462,-,7.77%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-18,260966,-,79582,-,3.28,-,91.14,-,59.79%,-,5201,-,5361,-,584841.7,-,112.45,-,24168,-,6.54%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-19,201562,-,46506,-,4.33,-,116.07,-,52.25%,-,4039,-,4151,-,338785.0,-,83.88,-,17223,-,8.68%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-20,201504,-,44748,-,4.5,-,125.88,-,49.71%,-,3816,-,3923,-,341505.0,-,89.49,-,18336,-,8.53%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
